instance_id,repo,cli_returncode,cli_type,cli_subtype,cli_is_error,cli_stop_reason,resolved,eval_status,eval_returncode,eval_signature,eval_signature_detail,patch_exists,patch_successfully_applied,f2p_total,f2p_success,f2p_failure,f2p_rate,p2p_total,p2p_success,p2p_failure,p2p_rate,regression_rate,cli_duration_ms,cli_duration_api_ms,cli_num_turns,cli_total_cost_usd,cli_model_input_tokens,cli_model_output_tokens,cli_model_cache_read_tokens,cli_model_cache_creation_tokens,trace_request_count,trace_http_error_count,trace_input_tokens_sum,trace_output_tokens_sum,trace_duration_ms_sum,tool_use_count,tool_error_count,tool_counts_by_name,anomaly_flags
iterative__dvc_0.30.0_0.30.1,iterative/dvc,124,result,timeout,True,timeout,True,report_available,0,,,True,True,1,1,0,1.0,12,12,0,1.0,0.0,,,,,,,,,31,0,583954,12093,196685,35,1,"{""Bash"": 25, ""Edit"": 1, ""Read"": 9}","[""cli_reported_error"", ""inference_timeout""]"
iterative__dvc_0.33.1_0.34.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,0,1,0.0,77,57,20,0.7402597402597403,0.2597402597402597,246584,159177,55,2.31968475,712012,7907,160200,4529,41,0,876741,7907,158490,54,3,"{""Bash"": 42, ""Edit"": 1, ""Read"": 11}",[]
iterative__dvc_0.35.3_0.35.4,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,1,1,0.5,26,26,0,1.0,0.0,192275,186741,60,3.0130575,922408,11792,224170,454,56,0,1147032,11792,186233,59,5,"{""Bash"": 33, ""Edit"": 7, ""Read"": 19}",[]
iterative__dvc_0.52.1_0.53.1,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,132,0,132,0.0,0,0,0,,,14640,1243085,1,50.251907100000004,16197690,62556,929457,117776,232,0,17244923,62556,1230585,230,9,"{""Bash"": 118, ""Edit"": 22, ""Read"": 90}",[]
iterative__dvc_0.89.0_0.90.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,27,0,27,0.0,282,99,183,0.35106382978723405,0.648936170212766,549408,486738,118,11.301850499999999,3588306,26093,472425,1016,118,0,4061747,26093,482150,117,7,"{""Bash"": 99, ""Edit"": 5, ""Read"": 13}",[]
iterative__dvc_0.91.2_0.91.3,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,0,2,0.0,17,17,0,1.0,0.0,3568,938165,1,19.866299100000006,6204161,52814,559087,78368,120,0,6841616,52814,916315,125,10,"{""Bash"": 86, ""Edit"": 23, ""Read"": 16}",[]
iterative__dvc_0.92.0_0.92.1,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,4,4,0,1.0,6,6,0,1.0,0.0,266685,265058,76,3.5825202000000007,1093554,15824,208044,556,52,0,1302154,15824,264838,75,3,"{""Bash"": 39, ""Edit"": 15, ""Read"": 21}",[]
iterative__dvc_1.0.0a1_1.0.0a2,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,68,0,68,0.0,242,0,242,0.0,1.0,7811,362835,1,8.270175449999998,2572010,18003,340764,48499,85,0,2961273,18003,357876,96,7,"{""Bash"": 82, ""Edit"": 4, ""Read"": 10}",[]
iterative__dvc_1.0.0b6_1.0.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,0,2,0.0,2,2,0,1.0,0.0,280284,267146,53,2.2693964999999996,674740,12225,200330,454,50,0,875524,12225,211500,52,7,"{""Bash"": 29, ""Edit"": 5, ""Read"": 18}",[]
iterative__dvc_1.0.1_1.0.2,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,1,1,0.5,19,19,0,1.0,0.0,225826,219270,48,2.009394,602142,10594,140010,548,35,0,742700,10594,190254,47,4,"{""Bash"": 31, ""Edit"": 3, ""Read"": 13}",[]
iterative__dvc_1.1.0_1.1.1,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,6,6,0,1.0,28,28,0,1.0,0.0,439030,423422,72,4.559353349999999,1382717,22246,252212,493,63,0,1635422,22246,360345,71,4,"{""Bash"": 53, ""Edit"": 1, ""Read"": 17}",[]
iterative__dvc_1.1.7_1.1.8,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,8,5,3,0.625,82,82,0,1.0,0.0,257635,253837,54,2.867846249999999,878443,11589,188070,603,47,0,1067116,11589,220950,53,3,"{""Bash"": 44, ""Edit"": 2, ""Read"": 7}",[]
iterative__dvc_1.10.2_1.11.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,6,0,6,0.0,150,70,80,0.4666666666666667,0.5333333333333333,1110805,1061071,159,20.441123249999993,6513315,48179,584565,833,146,0,7098713,48179,889690,158,18,"{""Bash"": 115, ""Edit"": 5, ""Read"": 38}",[]
iterative__dvc_1.11.12_1.11.13,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,2,2,0,1.0,4,4,0,1.0,0.0,141579,139159,28,0.7009215,190538,6672,91950,438,23,0,282926,6672,122454,27,1,"{""Bash"": 22, ""Edit"": 1, ""Read"": 4}",[]
iterative__dvc_1.6.3_1.6.4,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,9,1,8,0.1111111111111111,2,2,0,1.0,0.0,370938,362900,66,5.6739862500000005,1786476,16311,224115,709,56,0,2011300,16311,292910,65,0,"{""Bash"": 33, ""Edit"": 5, ""Read"": 27}",[]
iterative__dvc_2.19.0_2.20.0,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,14,14,0,1.0,66,66,0,1.0,0.0,524540,507365,119,12.405731999999997,3962472,25793,428370,776,107,0,4391618,25793,451808,118,2,"{""Bash"": 54, ""Edit"": 23, ""Read"": 41}",[]
iterative__dvc_2.21.1_2.21.2,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,0,1,0.0,8,5,3,0.625,0.375,121886,121106,19,0.42861000000000005,104529,6270,64035,470,55,0,846673,21400,384841,71,3,"{""Bash"": 53, ""Edit"": 2, ""Read"": 16}",[]
iterative__dvc_2.5.0_2.5.1,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,5,0,5,0.0,24,22,2,0.9166666666666666,0.08333333333333333,337284,330154,51,2.4733222500000003,730445,14931,184020,751,46,0,915216,14931,231661,50,11,"{""Bash"": 41, ""Edit"": 1, ""Read"": 8}",[]
iterative__dvc_2.58.1_2.58.2,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,1,1,0.5,20,20,0,1.0,0.0,159774,158471,48,1.7014449000000003,512108,7907,148128,554,37,0,660790,7907,142461,47,4,"{""Bash"": 28, ""Edit"": 4, ""Read"": 15}",[]
iterative__dvc_2.7.2_2.7.3,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,4,0,4,0.0,34,34,0,1.0,0.0,22721,909620,4,17.634959999999996,5514637,46362,536505,62578,134,0,6113720,46362,839964,132,5,"{""Bash"": 65, ""Edit"": 6, ""Read"": 61}",[]
iterative__dvc_2.8.1_2.8.2,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,133,0,133,0.0,662,662,0,1.0,0.0,250245,242458,47,2.6440357499999996,803712,10848,188070,3669,47,0,995451,10848,186770,46,5,"{""Bash"": 31, ""Edit"": 5, ""Read"": 10}",[]
iterative__dvc_3.12.0_3.13.0,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,33,33,0,1.0,44,44,0,1.0,0.0,319982,300383,45,3.6221797500000004,1073891,23468,144085,1403,36,0,1219379,23468,275878,44,0,"{""Bash"": 31, ""Edit"": 3, ""Read"": 10}",[]
iterative__dvc_3.13.3_3.14.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,13,0,13,0.0,36,36,0,1.0,0.0,192153,177532,32,1.1317523999999999,320871,8835,111948,808,28,0,433627,8835,150562,31,0,"{""Bash"": 19, ""Edit"": 1, ""Read"": 11}",[]
iterative__dvc_3.15.0_3.15.1,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,1,1,0,1.0,66,66,0,1.0,0.0,205885,194598,52,1.7426683499999998,517706,9158,167922,481,42,0,686109,9158,164461,51,0,"{""Bash"": 31, ""Edit"": 1, ""Read"": 19}",[]
iterative__dvc_3.4.0_3.5.0,iterative/dvc,0,result,success,False,end_turn,True,report_available,0,,,True,True,2,2,0,1.0,26,26,0,1.0,0.0,913132,897279,175,25.776723900000004,8313669,42554,648323,776,162,0,8962768,42554,766004,174,4,"{""Bash"": 102, ""Edit"": 17, ""Read"": 55}",[]
iterative__dvc_3.43.1_3.44.0,iterative/dvc,0,result,success,False,end_turn,False,report_available,0,,,True,True,22,0,22,0.0,104,3,101,0.028846153846153848,0.9711538461538461,514871,434680,99,11.522158050000002,3719586,16850,356896,955,89,0,4077437,16850,310468,98,1,"{""Bash"": 86, ""Edit"": 1, ""Read"": 11}",[]
modin-project__modin_0.24.0_0.24.1,modin-project/modin,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,0,1,0.0,171,171,0,1.0,0.0,1225945,1033635,153,27.68092124999999,8898258,53447,608595,497,152,0,9507350,53447,919615,152,4,"{""Bash"": 98, ""Edit"": 1, ""Read"": 53}",[]
modin-project__modin_0.25.0_0.25.1,modin-project/modin,0,result,success,False,end_turn,False,report_available,0,,,True,True,68,0,68,0.0,447,447,0,1.0,0.0,527266,494530,103,10.432674749999997,3318866,23189,400335,2171,100,0,3721372,23189,414970,102,4,"{""Bash"": 62, ""Edit"": 4, ""Read"": 36}",[]
modin-project__modin_0.27.0_0.27.1,modin-project/modin,0,result,success,False,end_turn,True,report_available,0,,,True,True,4,4,0,1.0,883,883,0,1.0,0.0,297574,283217,64,3.19327485,983250,11046,252212,579,63,0,1236041,11046,210349,63,3,"{""Bash"": 46, ""Edit"": 1, ""Read"": 16}",[]
psf__requests_v2.12.2_v2.12.3,psf/requests,0,result,success,False,end_turn,False,report_available,0,,,True,True,4,0,4,0.0,109,0,109,0.0,1.0,885042,880613,56,3.619266900000001,845922,64905,227728,10562,57,0,1084212,64905,861229,55,4,"{""Bash"": 35, ""Edit"": 3, ""Read"": 17}",[]
psf__requests_v2.27.0_v2.27.1,psf/requests,0,result,success,False,end_turn,True,report_available,0,,,True,True,2,2,0,1.0,185,185,0,1.0,0.0,137462,135054,30,0.48732749999999997,120615,6568,83800,486,21,0,204901,6568,107883,29,2,"{""Bash"": 23, ""Edit"": 1, ""Read"": 5}",[]
psf__requests_v2.4.0_v2.4.1,psf/requests,0,result,success,False,end_turn,False,report_available,0,,,True,True,2,2,0,1.0,136,135,1,0.9926470588235294,0.007352941176470588,427785,417971,85,6.67064565,2098254,18302,331758,487,83,0,2430499,18302,372455,84,4,"{""Bash"": 34, ""Edit"": 14, ""Read"": 36}",[]
psf__requests_v2.9.0_v2.9.1,psf/requests,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,1,0,1.0,85,84,1,0.9882352941176471,0.011764705882352941,209726,208593,39,1.2944341500000003,362374,10589,155878,457,39,0,518709,10589,187123,38,3,"{""Bash"": 19, ""Edit"": 6, ""Read"": 13}",[]
pydantic__pydantic_v2.6.0b1_v2.6.0,pydantic/pydantic,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,0,1,0.0,51,51,0,1.0,0.0,16860,951529,3,25.63454069999999,8168593,37742,541314,106730,135,0,8816637,37742,803562,133,11,"{""Bash"": 104, ""Edit"": 1, ""Read"": 28}",[]
pydantic__pydantic_v2.7.0_v2.7.1,pydantic/pydantic,0,result,success,False,end_turn,False,report_available,0,,,True,True,234,4,230,0.017094017094017096,1477,1476,1,0.999322951929587,0.0006770480704129993,1506752,1459018,195,46.54305975000002,15126338,60424,764790,7533,191,0,15898661,60424,1303933,194,9,"{""Bash"": 128, ""Edit"": 11, ""Read"": 55}",[]
pydantic__pydantic_v2.7.1_v2.7.2,pydantic/pydantic,0,result,success,False,end_turn,False,report_available,0,,,True,True,3,0,3,0.0,4584,403,4181,0.08791448516579406,0.912085514834206,163879,151551,36,0.7772955,212308,6848,115980,762,29,0,329050,6848,121435,35,0,"{""Bash"": 26, ""Edit"": 2, ""Read"": 7}",[]
scikit-learn__scikit-learn_0.20.1_0.20.2,scikit-learn/scikit-learn,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,1,0,1.0,438,436,2,0.9954337899543378,0.0045662100456621,73014,72518,19,0.41304765,113223,3601,52008,1003,13,0,166234,3601,72456,18,3,"{""Bash"": 9, ""Edit"": 2, ""Read"": 7}",[]
scikit-learn__scikit-learn_0.21.1_0.21.2,scikit-learn/scikit-learn,0,result,success,False,end_turn,False,report_available,0,,,True,True,1,1,0,1.0,293,267,26,0.9112627986348123,0.08873720136518772,207872,173814,33,1.20779625,347940,8269,124050,727,31,0,472717,8269,170985,32,2,"{""Bash"": 21, ""Edit"": 1, ""Read"": 10}",[]
